Construct-candidate nodes: 144

ID                        TAGS                                               NAME
7701(a)(52)(D)(iii)(IV)(aa) ['container_intro']                                Sec7701_a_52_D_iii_IV_aa
7701(a)(52)(D)(iii)(IV)(dd) ['container_intro']                                ManufacturedProduct
7701(a)(52)(D)(iv)        ['container_intro']                                ExistingContract
7701(a)(52)(D)(iv)(II)    ['container_bare']                                 Sec7701_a_52_D_iv_II
7701(a)(52)(D)(v)         ['container_intro']                                AntiCircumventionRules
7701(a)(52)(E)            ['container_intro', 'scope_def']                   OtherDefinitions
7701(a)(52)(E)(i)         ['container_intro']                                EligibleComponent
7701(a)(52)(E)(iii)       ['container_intro']                                ManufacturedProduct
7701(a)(52)(E)(iv)        ['container_intro']                                QualifiedFacility
7701(a)(52)(G)            ['container_intro']                                RegulationsGuidance
7701(b)                   ['container_bare', 'scope_rule']                   DefinitionResidentAlienNonresidentAlien
7701(b)(1)                ['container_intro', 'scope_def']                   Sec7701_b_1
7701(b)(1)(A)             ['container_intro']                                ResidentAlien
7701(b)(2)                ['container_bare']                                 SpecialRulesFirstLastYearResidency
7701(b)(2)(A)             ['container_bare', 'scope_rule']                   FirstYearResidency
7701(b)(2)(B)             ['container_intro']                                LastYearResidency
7701(b)(2)(C)             ['container_bare', 'scope_rule']                   CertainNominalPresenceDisregarded
7701(b)(3)                ['container_bare', 'scope_rule']                   SubstantialPresenceTest
7701(b)(3)(A)             ['container_intro']                                Sec7701_b_3_A
7701(b)(3)(B)             ['container_intro']                                ExceptionIndividualPresentUnitedStatesDuringLessThanOneHalfCurrentYearCloserConnectionForeignCountryEstablished
7701(b)(3)(C)             ['container_intro']                                SubparagraphBApplyCertainCases
7701(b)(3)(D)             ['container_intro']                                ExceptionExemptIndividualsCertainMedicalConditions
7701(b)(4)                ['container_bare']                                 FirstYearElection
7701(b)(4)(A)             ['container_intro']                                AlienIndividual
7701(b)(4)(A)(iv)         ['container_intro']                                Sec7701_b_4_A_iv
7701(b)(5)                ['container_intro', 'scope_def', 'scope_rule']     ExemptIndividualDefined
7701(b)(5)(A)             ['container_intro']                                ExemptIndividual
7701(b)(5)(A)(iv)         ['container_intro']                                ProfessionalAthlete
7701(b)(5)(B)             ['container_intro']                                ForeignGovernmentRelatedIndividual
7701(b)(5)(C)             ['container_intro']                                TeacherTrainee
7701(b)(5)(D)             ['container_intro']                                Student
7701(b)(5)(D)(i)          ['container_intro']                                Sec7701_b_5_D_i
7701(b)(5)(E)             ['container_bare']                                 SpecialRulesTeachersTraineesStudents
7701(b)(6)                ['container_intro', 'scope_def']                   LawfulPermanentResident
7701(b)(7)                ['container_intro', 'scope_def', 'scope_rule']     PresenceUnitedStates
7701(b)(9)                ['container_bare', 'scope_rule']                   TaxableYear
7701(b)(9)(B)             ['container_intro']                                FiscalYearTaxpayer
7701(b)(10)               ['container_intro']                                CoordinationSection
7701(e)                   ['container_intro', 'scope_def', 'scope_rule']     TreatmentCertainContractsProvidingServicesEtc
7701(e)(1)                ['container_intro']                                AllRelevantFactors
7701(e)(3)                ['container_bare', 'scope_rule']                   SpecialRulesContractsArrangementsInvolvingSolidWasteDisposalEnergyCleanWaterFacilities
7701(e)(3)(A)             ['container_intro']                                Sec7701_e_3_A
